2023-12-31 19:44:30,30.46603942,-97.8369857,r, 18.13m,0000000006Hz,0000090238c,0000000.196s, 021.2C
2023-12-31 19:44:36,30.46604277,-97.83703968,r, 18.27m,0000000005Hz,0000103235c,0000000.224s, 021.2C
2023-12-31 19:44:38,30.46604944,-97.83706688,r, 18.30m,0000000005Hz,0000106004c,0000000.230s, 021.2C
2023-12-31 19:44:40,30.4660568,-97.83709342,r, 18.30m,0000000004Hz,0000106080c,0000000.230s, 021.2C
2023-12-31 19:44:42,30.46606362,-97.8371207,r, 18.28m,0000000004Hz,0000104256c,0000000.226s, 021.2C
2023-12-31 19:44:44,30.46607135,-97.83714717,r, 18.22m,0000000004Hz,0000097944c,0000000.213s, 021.2C
2023-12-31 19:44:46,30.46607762,-97.83716658,r, 18.37m,0000000004Hz,0000113503c,0000000.246s, 021.2C
2023-12-31 19:44:48,30.4660897,-97.83718258,r, 18.32m,0000000004Hz,0000108198c,0000000.235s, 021.2C
2023-12-31 19:44:50,30.46611404,-97.83718206,r, 18.26m,0000000004Hz,0000101648c,0000000.221s, 021.2C
2023-12-31 19:44:52,30.466132,-97.83717049,r, 18.34m,0000000004Hz,0000110218c,0000000.239s, 021.2C
2023-12-31 19:44:54,30.46614331,-97.83716152,r, 18.27m,0000000004Hz,0000102648c,0000000.223s, 021.2C
2023-12-31 19:44:56,30.46615543,-97.83715292,r, 18.37m,0000000004Hz,0000112853c,0000000.245s, 021.2C
2023-12-31 19:44:58,30.46617185,-97.83714477,r, 18.43m,0000000004Hz,0000119066c,0000000.258s, 021.2C
2023-12-31 19:45:00,30.46618715,-97.83713448,r, 18.44m,0000000004Hz,0000120098c,0000000.261s, 021.2C
2023-12-31 19:45:02,30.4661919,-97.83711139,r, 18.38m,0000000004Hz,0000114175c,0000000.248s, 021.2C
2023-12-31 19:45:04,30.46618908,-97.83709723,r, 18.33m,0000000004Hz,0000109187c,0000000.237s, 021.2C
2023-12-31 19:45:06,30.46617591,-97.83707145,r, 18.33m,0000000004Hz,0000109219c,0000000.237s, 021.2C
2023-12-31 19:45:08,30.46617591,-97.83707145,r, 18.34m,0000000004Hz,0000109784c,0000000.238s, 021.2C
2023-12-31 19:45:10,30.46617591,-97.83707145,r, 18.27m,0000000004Hz,0000102600c,0000000.223s, 021.2C
2023-12-31 19:45:12,30.46617591,-97.83707145,r, 18.21m,0000000005Hz,0000097073c,0000000.211s, 020.9C
2023-12-31 19:45:14,30.46617591,-97.83707145,r, 18.19m,0000000004Hz,0000095858c,0000000.208s, 020.9C
2023-12-31 19:45:16,30.46617591,-97.83707145,r, 18.18m,0000000005Hz,0000094582c,0000000.205s, 020.9C
2023-12-31 19:45:18,30.46617591,-97.83707145,r, 18.27m,0000000004Hz,0000103227c,0000000.224s, 020.9C
2023-12-31 19:45:20,30.46608918,-97.83703675,r, 18.06m,0000000005Hz,0000085128c,0000000.185s, 020.9C
2023-12-31 19:45:22,30.46608272,-97.83705913,r, 18.26m,0000000004Hz,0000101789c,0000000.221s, 020.9C
2023-12-31 19:45:24,30.46607799,-97.83708407,r, 18.31m,0000000005Hz,0000107277c,0000000.233s, 020.9C
2023-12-31 19:45:26,30.4660749,-97.83710154,r, 18.36m,0000000004Hz,0000111841c,0000000.243s, 020.9C
2023-12-31 19:45:28,30.46607902,-97.83711821,r, 18.26m,0000000004Hz,0000101909c,0000000.221s, 020.9C
2023-12-31 19:45:30,30.46608996,-97.83713612,r, 18.42m,0000000004Hz,0000118382c,0000000.257s, 020.9C
2023-12-31 19:45:32,30.46610442,-97.83714924,r, 18.38m,0000000004Hz,0000114594c,0000000.249s, 020.9C
2023-12-31 19:45:34,30.46612563,-97.83714588,r, 18.38m,0000000004Hz,0000114616c,0000000.249s, 020.9C
2023-12-31 19:45:36,30.46613429,-97.83712098,r, 18.31m,0000000004Hz,0000107185c,0000000.233s, 020.9C
2023-12-31 19:45:38,30.46612486,-97.83709714,r, 18.39m,0000000004Hz,0000115234c,0000000.250s, 020.9C
2023-12-31 19:45:40,30.46611608,-97.83708025,r, 18.31m,0000000004Hz,0000106695c,0000000.232s, 020.9C
2023-12-31 19:45:42,30.46612469,-97.83706021,r, 18.30m,0000000005Hz,0000106135c,0000000.230s, 020.9C
2023-12-31 19:45:44,30.46614013,-97.83704613,r, 18.24m,0000000005Hz,0000100696c,0000000.219s, 020.9C
2023-12-31 19:45:46,30.46615737,-97.83703519,r, 18.26m,0000000005Hz,0000101708c,0000000.221s, 020.9C
2023-12-31 19:45:48,30.46617458,-97.83702131,r, 18.29m,0000000005Hz,0000105059c,0000000.228s, 020.9C
2023-12-31 19:45:50,30.46619631,-97.83701323,r, 18.33m,0000000004Hz,0000108982c,0000000.237s, 020.9C
2023-12-31 19:45:52,30.46621796,-97.83701756,r, 18.31m,0000000005Hz,0000106685c,0000000.232s, 020.9C
2023-12-31 19:45:54,30.46623639,-97.83703326,r, 18.34m,0000000004Hz,0000109896c,0000000.238s, 020.9C
2023-12-31 19:45:56,30.466254,-97.83705463,r, 18.40m,0000000004Hz,0000116163c,0000000.252s, 020.9C
2023-12-31 19:45:58,30.46627031,-97.83707505,r, 18.44m,0000000004Hz,0000119819c,0000000.260s, 020.9C
2023-12-31 19:46:00,30.46628048,-97.83708884,r, 18.43m,0000000004Hz,0000119258c,0000000.259s, 020.9C
2023-12-31 19:46:02,30.46627624,-97.83711123,r, 18.46m,0000000004Hz,0000122170c,0000000.265s, 020.9C
2023-12-31 19:46:04,30.46626281,-97.83712776,r, 18.45m,0000000003Hz,0000121793c,0000000.264s, 020.6C
2023-12-31 19:46:06,30.46624063,-97.83713982,r, 18.46m,0000000004Hz,0000122296c,0000000.265s, 020.6C
2023-12-31 19:46:08,30.46621926,-97.83714415,r, 18.43m,0000000004Hz,0000119526c,0000000.259s, 020.6C
2023-12-31 19:46:10,30.46619987,-97.83714698,r, 18.44m,0000000003Hz,0000119961c,0000000.260s, 020.6C
2023-12-31 19:46:12,30.46617553,-97.83714613,r, 18.42m,0000000004Hz,0000117780c,0000000.256s, 020.6C
